index	time	x	y	z	thing
313	1643490304079	0.199	-0.093	9.657	noname
314	1643490304089	0.175	-0.086	9.676	noname
315	1643490304099	0.202	-0.08	9.708	noname
316	1643490304109	0.197	-0.093	9.699	noname
317	1643490304119	0.207	-0.092	9.683	noname
318	1643490304131	0.201	-0.088	9.686	noname
319	1643490304139	0.074	-0.441	6.908	noname
320	1643490304149	0.03	0.499	13.726	noname
321	1643490304159	0.084	-0.115	8.752	noname
322	1643490304169	1.058	-0.34	9.382	noname
323	1643490304181	-0.446	0.179	8.966	noname
324	1643490304188	0.57	-0.25	10.53	noname
325	1643490304198	-0.098	-0.306	9.525	noname
326	1643490304208	0.073	0.218	9.189	noname
327	1643490304219	0.189	-0.243	10.651	noname
328	1643490304229	0.279	-0.208	9.06	noname
329	1643490304239	0.28	0.19	9.644	noname
330	1643490304250	0.241	-0.052	10.041	noname
331	1643490304259	0.137	-0.2	9.513	noname
332	1643490304269	0.174	0.026	9.582	noname
333	1643490304279	0.104	-0.198	9.848	noname
334	1643490304288	0.205	-0.204	9.627	noname
335	1643490304299	0.248	0.008	9.548	noname
336	1643490304310	0.226	-0.113	9.789	noname
337	1643490304320	0.183	-0.114	9.757	noname
338	1643490304329	0.156	-0.154	9.791	noname
339	1643490304339	0.196	-0.078	9.701	noname
340	1643490304349	0.207	-0.018	9.601	noname
341	1643490304359	0.224	-0.108	9.728	noname
342	1643490304369	0.228	-0.126	9.735	noname
343	1643490304380	0.165	-0.098	9.656	noname
344	1643490304389	0.169	-0.089	9.655	noname
345	1643490304399	0.169	-0.116	9.738	noname
346	1643490304409	0.19	-0.11	9.68	noname
347	1643490304419	0.223	-0.066	9.637	noname
348	1643490304428	0.199	-0.075	9.734	noname
349	1643490304438	0.206	-0.093	9.645	noname
350	1643490304448	0.186	-0.104	9.655	noname
351	1643490304459	0.17	-0.096	9.726	noname
352	1643490304469	0.189	-0.111	9.651	noname
353	1643490304479	0.2	-0.1	9.658	noname
354	1643490304491	0.225	-0.06	9.691	noname
355	1643490304499	0.222	-0.11	9.653	noname
356	1643490304509	0.192	-0.117	9.685	noname
357	1643490304519	0.171	-0.093	9.71	noname
358	1643490304529	0.189	-0.083	9.682	noname
359	1643490304539	0.211	-0.103	9.71	noname
360	1643490304549	0.207	-0.09	9.659	noname
361	1643490304559	0.21	-0.094	9.649	noname
362	1643490304569	0.196	-0.117	9.703	noname
363	1643490304579	0.173	-0.086	9.682	noname
364	1643490304589	0.177	-0.088	9.682	noname
365	1643490304599	0.199	-0.102	9.71	noname
366	1643490304609	0.205	-0.074	9.677	noname
367	1643490304619	0.202	-0.078	9.679	noname
368	1643490304629	0.197	-0.093	9.677	noname
